date,dji
09NOV1899,74.38
10NOV1899,73.67
13NOV1899,74.08
14NOV1899,74.16
15NOV1899,74.67
16NOV1899,75.48
17NOV1899,75.8
20NOV1899,75.63
21NOV1899,75.05
22NOV1899,75.2
23NOV1899,75.5
24NOV1899,75.8
27NOV1899,75.69
28NOV1899,75.48
29NOV1899,75.55
01DEC1899,75.47
04DEC1899,74.26
05DEC1899,73.57
06DEC1899,73.53
07DEC1899,73.03
08DEC1899,70.27
11DEC1899,67.43
12DEC1899,67.54
13DEC1899,64.03
14DEC1899,65.26
15DEC1899,66.21
18DEC1899,58.27
19DEC1899,61.02
20DEC1899,61.19
21DEC1899,59.97
22DEC1899,58.69
26DEC1899,62
27DEC1899,64.47
28DEC1899,64.39
29DEC1899,65.73
02JAN1900,68.13
03JAN1900,66.61
04JAN1900,67.15
05JAN1900,66.71
08JAN1900,66.41
09JAN1900,64.99
10JAN1900,64.14
11JAN1900,63.27
12JAN1900,64.93
15JAN1900,64.22
16JAN1900,64.29
17JAN1900,64.56
18JAN1900,64.28
19JAN1900,65.29
22JAN1900,65.37
23JAN1900,64.38
24JAN1900,64.72
25JAN1900,65.05
26JAN1900,64.23
29JAN1900,64.45
30JAN1900,66.06
31JAN1900,66.13
01FEB1900,67.34
02FEB1900,67.86
05FEB1900,68.36
06FEB1900,68.03
07FEB1900,67.94
08FEB1900,67.46
09FEB1900,66.86
13FEB1900,67.39
14FEB1900,66.9
15FEB1900,67.08
16FEB1900,66.4
19FEB1900,66.25
20FEB1900,66.16
21FEB1900,65.59
23FEB1900,64.52
26FEB1900,63.56
27FEB1900,63.35
28FEB1900,63.96
01MAR1900,63.59
02MAR1900,61.95
05MAR1900,62.12
06MAR1900,61.87
07MAR1900,61.83
08MAR1900,61.39
09MAR1900,61.11
12MAR1900,63.31
13MAR1900,62.88
14MAR1900,62.03
15MAR1900,61.81
16MAR1900,61.91
19MAR1900,62.91
20MAR1900,63.45
21MAR1900,64.08
22MAR1900,64.06
23MAR1900,63.67
26MAR1900,64.06
27MAR1900,64.71
28MAR1900,65.12
29MAR1900,64.07
30MAR1900,65.39
02APR1900,65.55
03APR1900,65.17
04APR1900,65.11
05APR1900,65.47
06APR1900,66.15
09APR1900,65.46
10APR1900,64.55
11APR1900,64.78
12APR1900,64.4
16APR1900,61.55
17APR1900,61.8
18APR1900,61.82
19APR1900,62.38
20APR1900,62.2
23APR1900,61.19
24APR1900,61.69
25APR1900,61.89
26APR1900,63.05
27APR1900,62.25
30APR1900,61.33
01MAY1900,61.32
02MAY1900,61.05
03MAY1900,61.02
04MAY1900,61.18
07MAY1900,60.62
08MAY1900,59.26
09MAY1900,59.94
10MAY1900,60.1
11MAY1900,58.62
14MAY1900,57.55
15MAY1900,56.62
16MAY1900,57.12
17MAY1900,56.76
18MAY1900,57.76
21MAY1900,57.4
22MAY1900,58.1
23MAY1900,58.35
24MAY1900,57.51
25MAY1900,57.26
28MAY1900,57.67
29MAY1900,58.01
31MAY1900,59.1
01JUN1900,59.38
04JUN1900,57.97
05JUN1900,57.48
06JUN1900,56.98
07JUN1900,57.56
08JUN1900,56.62
11JUN1900,56.03
12JUN1900,56.15
13JUN1900,57.12
14JUN1900,56.51
15JUN1900,56.17
18JUN1900,54.96
19JUN1900,55.08
20JUN1900,54.39
21JUN1900,54.65
22JUN1900,54.11
25JUN1900,53.68
26JUN1900,54
27JUN1900,54.11
28JUN1900,54.75
29JUN1900,54.83
02JUL1900,55.48
03JUL1900,55.67
05JUL1900,56.51
06JUL1900,56.13
09JUL1900,55.76
10JUL1900,56.91
11JUL1900,56.77
12JUL1900,56.71
13JUL1900,55.98
16JUL1900,56.22
17JUL1900,56.75
18JUL1900,56.61
19JUL1900,57.27
20JUL1900,58.35
23JUL1900,59.02
24JUL1900,58.35
25JUL1900,58.18
26JUL1900,57.93
27JUL1900,58.03
30JUL1900,57.13
31JUL1900,56.8
01AUG1900,57.06
02AUG1900,57.21
03AUG1900,57.29
06AUG1900,57.57
07AUG1900,57.71
08AUG1900,57.88
09AUG1900,57.74
10AUG1900,58
13AUG1900,58.5
14AUG1900,58.77
15AUG1900,58.9
16AUG1900,58.86
17AUG1900,58.84
20AUG1900,58.8
21AUG1900,58.55
22AUG1900,58.65
23AUG1900,58.42
24AUG1900,58.3
27AUG1900,58.22
28AUG1900,57.79
29AUG1900,58.43
30AUG1900,58.39
31AUG1900,57.81
04SEP1900,58.55
05SEP1900,58.58
06SEP1900,58.5
07SEP1900,58.32
10SEP1900,58.07
11SEP1900,58.1
12SEP1900,58.25
13SEP1900,58.2
14SEP1900,57.47
17SEP1900,56.67
18SEP1900,56.63
19SEP1900,55.63
20SEP1900,54.37
21SEP1900,54.37
24SEP1900,52.96
25SEP1900,53.13
26SEP1900,53.25
27SEP1900,54.53
28SEP1900,54.14
01OCT1900,54.96
02OCT1900,54.52
03OCT1900,54.74
04OCT1900,55.29
05OCT1900,55.7
08OCT1900,55.38
09OCT1900,55.51
10OCT1900,54.9
11OCT1900,55.34
12OCT1900,56.09
15OCT1900,57.9
16OCT1900,57.82
17OCT1900,57.89
18OCT1900,58.46
19OCT1900,58.73
22OCT1900,60.63
23OCT1900,60.79
24OCT1900,60.79
25OCT1900,60.64
26OCT1900,60.5
29OCT1900,59.31
30OCT1900,59.53
31OCT1900,59.04
01NOV1900,59.18
02NOV1900,59.39
05NOV1900,60.87
07NOV1900,62.9
08NOV1900,63.76
09NOV1900,65.15
12NOV1900,67.33
13NOV1900,65.73
14NOV1900,66.23
15NOV1900,66.81
16NOV1900,68.19
19NOV1900,68.88
20NOV1900,69.07
21NOV1900,68.97
22NOV1900,68.41
23NOV1900,66.92
26NOV1900,67.23
27NOV1900,67.01
28NOV1900,66.59
30NOV1900,66.59
03DEC1900,66.43
04DEC1900,65.42
05DEC1900,66.05
06DEC1900,65.07
07DEC1900,64.17
10DEC1900,64.65
11DEC1900,65.54
12DEC1900,65.45
13DEC1900,64.89
14DEC1900,65.54
17DEC1900,65.7
18DEC1900,66.52
19DEC1900,67.19
20DEC1900,67.38
21DEC1900,68.63
26DEC1900,70.85
27DEC1900,71.04
28DEC1900,69.79
31DEC1900,70.71
02JAN1901,70.44
03JAN1901,67.97
04JAN1901,69.33
07JAN1901,67.12
08JAN1901,67.65
09JAN1901,67.53
10JAN1901,67.89
11JAN1901,67.85
14JAN1901,67.26
15JAN1901,66.5
16JAN1901,65.71
17JAN1901,65.3
18JAN1901,65.21
21JAN1901,64.92
22JAN1901,65.53
23JAN1901,66.37
24JAN1901,65.65
25JAN1901,66.16
28JAN1901,66.29
29JAN1901,66.56
30JAN1901,66.72
31JAN1901,66.81
01FEB1901,67.71
04FEB1901,68.46
05FEB1901,69.27
06FEB1901,69.89
07FEB1901,69.33
08FEB1901,69.8
11FEB1901,70.48
13FEB1901,69.45
14FEB1901,70.62
15FEB1901,70.78
18FEB1901,68.92
19FEB1901,68.37
20FEB1901,67.96
21FEB1901,68.55
25FEB1901,68.27
26FEB1901,67.36
27FEB1901,68.11
28FEB1901,67
01MAR1901,67.76
04MAR1901,67.58
05MAR1901,67.35
06MAR1901,67.39
07MAR1901,67.72
08MAR1901,67.55
11MAR1901,67.48
12MAR1901,67.28
13MAR1901,67.18
14MAR1901,67.54
15MAR1901,67.33
18MAR1901,68.42
19MAR1901,68.73
20MAR1901,68.82
21MAR1901,68.93
22MAR1901,68.92
25MAR1901,68.59
26MAR1901,68.52
27MAR1901,69.27
28MAR1901,69.39
29MAR1901,69.43
01APR1901,70.91
02APR1901,71.02
03APR1901,71.35
04APR1901,72.01
08APR1901,71.47
09APR1901,72.51
10APR1901,73.11
11APR1901,72.62
12APR1901,72.88
15APR1901,75.35
16APR1901,75.42
17APR1901,74.88
18APR1901,75.1
19APR1901,75.89
22APR1901,74.56
23APR1901,73.8
24APR1901,73.21
25APR1901,73.63
26APR1901,74.35
29APR1901,75.23
30APR1901,75.8
01MAY1901,75.93
02MAY1901,75.19
03MAY1901,74.37
06MAY1901,75.55
07MAY1901,75.02
08MAY1901,71.72
09MAY1901,67.38
10MAY1901,71.67
13MAY1901,71.92
14MAY1901,69.59
15MAY1901,70.06
16MAY1901,70.84
17MAY1901,73.09
20MAY1901,72.76
21MAY1901,73.44
22MAY1901,73.51
23MAY1901,72.83
24MAY1901,73.73
27MAY1901,73.67
28MAY1901,74.01
29MAY1901,74.51
31MAY1901,75.77
03JUN1901,77.73
04JUN1901,77.07
05JUN1901,76.37
06JUN1901,76.45
07JUN1901,76.31
10JUN1901,76.27
11JUN1901,76.11
12JUN1901,76.55
13JUN1901,77.31
14JUN1901,77.07
17JUN1901,78.26
18JUN1901,77.82
19JUN1901,77.56
20JUN1901,77.22
21JUN1901,77.94
24JUN1901,77.71
25JUN1901,76.93
26JUN1901,76.87
27JUN1901,76.82
28JUN1901,76.47
01JUL1901,77.08
02JUL1901,77.07
03JUL1901,76.6
08JUL1901,74.04
