"Overnight accommodation; guests, country of residence, type, region "
"Periods: 2018 February*"
"";"";"";"";"Regions"
"Country of residence";"Topic";"Type of accommodation";"";"Nederland";"Groningen (PV)";"Friesland (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)"
"Other countries Euro-zone";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"58";"0";"0";"0";"1";"0";"1";"2";"43";"5";"1";"3";"2"
"Other countries Euro-zone";"Guests";"Total Leisure accommodation";"x 1 000";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Other countries Euro-zone";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Other countries Euro-zone";"Guests";"Holiday park";"x 1 000";"3";".";".";".";".";".";".";".";".";".";".";".";"."
"Other countries Euro-zone";"Guests";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Other countries Euro-zone";"Overnight stays";"Total overnight accommodation";"x 1 000";"133";"1";"0";"0";"2";"0";"3";"4";"92";"11";"3";"6";"8"
"Other countries Euro-zone";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"117";"0";"0";"0";"1";"0";"1";"3";"90";"9";"1";"4";"5"
"Other countries Euro-zone";"Overnight stays";"Total Leisure accommodation";"x 1 000";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Other countries Euro-zone";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Other countries Euro-zone";"Overnight stays";"Holiday park";"x 1 000";"15";".";".";".";".";".";".";".";".";".";".";".";"."
"Other countries Euro-zone";"Overnight stays";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Other European countries";"Guests";"Total overnight accommodation";"x 1 000";"87";"1";"1";"0";"2";"0";"3";"2";"54";"11";"1";"6";"4"
"Other European countries";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"84";"1";"0";"0";"2";"0";"3";"2";"54";"11";"1";"6";"4"
"Other European countries";"Guests";"Total Leisure accommodation";"x 1 000";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Other European countries";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Other European countries";"Guests";"Holiday park";"x 1 000";"3";".";".";".";".";".";".";".";".";".";".";".";"."
"Other European countries";"Guests";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Other European countries";"Overnight stays";"Total overnight accommodation";"x 1 000";"170";"2";"2";"0";"4";"0";"5";"4";"103";"23";"3";"13";"10"
"Other European countries";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"156";"2";"0";"0";"3";"0";"4";"4";"101";"21";"1";"10";"8"
"Other European countries";"Overnight stays";"Total Leisure accommodation";"x 1 000";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Other European countries";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Other European countries";"Overnight stays";"Holiday park";"x 1 000";"14";".";".";".";".";".";".";".";".";".";".";".";"."
"Other European countries";"Overnight stays";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"America";"Guests";"Total overnight accommodation";"x 1 000";"113";"0";"0";"0";"1";"0";"1";"3";"90";"9";"0";"6";"2"
"America";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"112";"0";"0";"0";"1";"0";"1";"3";"89";"9";"0";"5";"2"
"America";"Guests";"Total Leisure accommodation";"x 1 000";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"America";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"America";"Guests";"Holiday park";"x 1 000";"1";".";".";".";".";".";".";".";".";".";".";".";"."
"America";"Guests";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"America";"Overnight stays";"Total overnight accommodation";"x 1 000";"206";"0";"0";"0";"2";"0";"2";"5";"159";"18";"0";"12";"5"
"America";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"202";"0";"0";"0";"2";"0";"2";"5";"159";"18";"0";"10";"5"
"America";"Overnight stays";"Total Leisure accommodation";"x 1 000";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"America";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"America";"Overnight stays";"Holiday park";"x 1 000";"2";".";".";".";".";".";".";".";".";".";".";".";"."
"America";"Overnight stays";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Asia";"Guests";"Total overnight accommodation";"x 1 000";"79";"0";"0";"0";"1";"0";"1";"1";"61";"10";"0";"3";"2"
"Asia";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"79";"0";"0";"0";"1";"0";"1";"1";"61";"10";"0";"3";"2"
